url,category_code,category_description,date_added,source,notes,rank
http://www.nancyajram.com/,CULTR,Culture,2014-04-15,citizenlab,,1674060
https://www.moqawama.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,151674
http://angryarab.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,,1449704
http://www.ahewar.org/,POLR,Political Criticism,2014-04-15,citizenlab,,114240
http://www.ansarh.com/,REL,Religion,2014-04-15,citizenlab,,13517950
http://www.ansarweb.net/,REL,Religion,2014-04-15,citizenlab,,13069011
http://www.bahai-faith.org/,REL,Religion,2014-04-15,citizenlab,,8903720
http://www.bahai.com/,REL,Religion,2014-04-15,citizenlab,,136845
http://www.coptic.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,98632
http://www.light-of-life.com/,REL,Religion,2014-04-15,citizenlab,,3688379
https://www.yahosein.com/,REL,Religion,2014-04-15,citizenlab,,737685
https://www.anti-cair-net.org/,NEWS,News Media,2014-04-15,citizenlab,,1873402
https://annabaa.org/,NEWS,News Media,2014-04-15,citizenlab,,553526
https://answering-islam.org/,REL,Religion,2014-04-15,citizenlab,,46456
https://www.rafed.net/ar/,REL,Religion,2014-04-15,citizenlab,,174362
https://www.mashrobi.com/,ALDR,Alcohol & Drugs,2019-05-05,Netalitica,,28247909
https://www.africanandeastern.com/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,1754319
https://www.leclos.net/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,1869009
https://centaurusint.net/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,81542
http://www.mmidubai.com/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,5335983
https://www.spinneysauh.com/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,10816656
https://www.selfridges.com/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,22760
https://www.drinkies.net/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,10359381
https://gulfbrandsinternational.com/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,17448801
https://ar.drinkedin.net/,ALDR,Alcohol & Drugs,2019-05-02,Netalitica,,-1
https://www.cyber-arabs.com/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,2589284
https://mahjooob.com/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,54307328
https://www.arabichotspotshield.com/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,72706338
http://www.arabprogs.com/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,-1
https://www.toopenblockedsites.com/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,109189240
https://www.newtactics.org/ar,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,298611
https://www.openingblockedsite.com/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,38729557
https://nottrees.com/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,50735330
https://salamatechwiki.org/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,12071362
https://beheard.salamatech.org/ar,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,30001935
https://www.salamatech.org/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,18225801
https://ar.vpnmentor.com/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,13893580
https://ara.privateinternetaccess.com/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,35260298
https://weneedprivacy.com/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,9284895
https://kaserproxy.net/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,84739986
https://xn--ngbsg7dyao.xyz/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,103122620
http://www.proxyarab.com/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,23113283
https://www.proteachin.com/,ANON,Anonymization and circumvention tools,2019-05-02,Netalitica,,35479075
https://www.sodas.sa/,CTRL,Control content,2019-05-02,Netalitica,,60346104
https://www.elm.sa/ar/Pages/default.aspx,CTRL,Control content,2019-05-02,Netalitica,,3866530
https://www.doroob.sa/ar/,CTRL,Control content,2019-05-02,Netalitica,,7312462
https://www.mcit.gov.sa/,CTRL,Control content,2019-05-02,Netalitica,,1915864
https://www.swa.gov.sa/ar/,CTRL,Control content,2019-05-02,Netalitica,,5052607
https://sajjel.me/,CTRL,Control content,2019-05-02,Netalitica,,21813365
http://www.sportksa.net/main/,CTRL,Control content,2019-05-02,Netalitica,,6119337
https://www.alkebar.com/,CTRL,Control content,2019-05-02,Netalitica,,74384000
https://www.shoot-sa.com/,CTRL,Control content,2019-05-02,Netalitica,,12809789
https://www.othaimmarkets.com/splash,CTRL,Control content,2019-05-02,Netalitica,,1700628
https://www.jarir.com/sa-en/,CTRL,Control content,2019-05-02,Netalitica,,895676
https://www.saudia.com/,CTRL,Control content,2019-05-02,Netalitica,,30819
http://www.othaimmalls.com/Default.aspx?lang=ar,CTRL,Control content,2019-05-02,Netalitica,,10715683
https://saudi.vezeeta.com/ar,CTRL,Control content,2019-05-02,Netalitica,,25436647
http://www.saudigulfairlines.com/ar/home,CTRL,Control content,2019-05-02,Netalitica,,7463565
https://www.sa.zain.com/,CTRL,Control content,2019-05-02,Netalitica,,932887
https://www.prayer-times.info/,CTRL,Control content,2019-05-02,Netalitica,,5850578
https://kora.com/saudi-arabia/,CTRL,Control content,2019-05-02,Netalitica,,3222002
http://www.awttar.com/,CULTR,Culture,2019-05-02,Netalitica,,47106212
https://www.aljasraculture.com/,CULTR,Culture,2019-05-02,Netalitica,,11017298
http://www.adab.com/,CULTR,Culture,2019-05-02,Netalitica,,297914
https://www.diwanalarab.com/,CULTR,Culture,2019-05-02,Netalitica,,276486
https://www.aldiwan.net/,CULTR,Culture,2019-05-02,Netalitica,,200992
http://www.alapn.co/ar/,CULTR,Culture,2019-05-02,Netalitica,,13014011
http://arabca.net/,CULTR,Culture,2019-05-02,Netalitica,,15416884
https://www.hiamag.com/,CULTR,Culture,2019-05-02,Netalitica,,292559
https://www.alukah.net/,CULTR,Culture,2019-05-02,Netalitica,,38713
https://www.zahratalkhaleej.ae/,CULTR,Culture,2019-05-02,Netalitica,,662990
https://www.sayidaty.net/,CULTR,Culture,2019-05-02,Netalitica,,46232
https://arb.majalla.com/,NEWS,News Media,2019-05-02,Netalitica,,3055038
http://www.xn--mgbai3a1bycq.net/,DATE,Online Dating,2019-05-02,Netalitica,,-1
https://www.betrallyelarab.com/,DATE,Online Dating,2019-05-02,Netalitica,,-1
https://www.buzzarab.com/,DATE,Online Dating,2019-05-02,Netalitica,,207735
https://www.zohradating.com/,DATE,Online Dating,2019-05-02,Netalitica,,27168964
https://badoo.com/ar/dating/,DATE,Online Dating,2019-05-02,Netalitica,,16627
https://www.nisfo.com/,DATE,Online Dating,2019-05-02,Netalitica,,28713549
https://ar.dateforeal.com/,DATE,Online Dating,2019-05-02,Netalitica,,137407956
https://www.gulf-dating.com/,DATE,Online Dating,2019-05-02,Netalitica,,33906378
https://ahlam.net/,DATE,Online Dating,2019-05-02,Netalitica,,1753212
https://msyaronline.com/,DATE,Online Dating,2019-05-02,Netalitica,,22688862
http://syria-dating.com/,DATE,Online Dating,2019-05-02,Netalitica,,17472184
http://www.ekhetba.com/home.ar,DATE,Online Dating,2019-05-02,Netalitica,,89051296
https://zaoag.net/,DATE,Online Dating,2019-05-02,Netalitica,,56662285
http://www.asawer.net/,DATE,Online Dating,2019-05-02,Netalitica,,-1
https://www.inkeedo.com/,DATE,Online Dating,2019-05-02,Netalitica,,107646624
http://www.ekhotoba.com/home.ar,DATE,Online Dating,2019-05-02,Netalitica,,130646107
https://www.tunisia-dating.com/,DATE,Online Dating,2019-05-02,Netalitica,,227826
https://www.soudfa.com/,DATE,Online Dating,2019-05-02,Netalitica,,322675
https://www.meet-lebanese.com/ar/,DATE,Online Dating,2019-05-02,Netalitica,,1769631
https://hotornot.com/ar/,DATE,Online Dating,2019-05-02,Netalitica,,55719
https://www.muslima.com/ar,DATE,Online Dating,2019-05-02,Netalitica,,2647539
http://zwaj-palestine.com/,DATE,Online Dating,2019-05-02,Netalitica,,154046456
http://eg.daleel.waseet.net/,DATE,Online Dating,2019-05-02,Netalitica,,7312557
http://www.klmnyy.com/,DATE,Online Dating,2019-05-02,Netalitica,,36561848
https://zawgaty.com/,DATE,Online Dating,2019-05-02,Netalitica,,22466711
https://www.zawaj.com/,DATE,Online Dating,2019-05-02,Netalitica,,436608
http://www.yazawaj.com/,DATE,Online Dating,2019-05-02,Netalitica,,34432457
https://www.umnea.net/,DATE,Online Dating,2019-05-02,Netalitica,,76534003
http://zawaghalal.com/,DATE,Online Dating,2019-05-02,Netalitica,,-1
http://talaki.com/,DATE,Online Dating,2019-05-02,Netalitica,,319553116
https://www.sharekomry.com/,DATE,Online Dating,2019-05-02,Netalitica,,120658952
https://www.qiran.com/,DATE,Online Dating,2019-05-02,Netalitica,,7040764
https://www.maaal.com/,ECON,Economics,2019-05-02,Netalitica,,434588
https://aliqtisadi.com/,ECON,Economics,2019-05-02,Netalitica,,263330
https://www.arabianbusiness.com/,ECON,Economics,2019-05-02,Netalitica,,17530
https://www.argaam.com/,ECON,Economics,2019-05-02,Netalitica,,22275
https://www.zawya.com/,ECON,Economics,2019-05-02,Netalitica,,17784
https://www.forbesmiddleeast.com/,ECON,Economics,2019-05-02,Netalitica,,68791
https://www.alborsanews.com/,ECON,Economics,2019-05-02,Netalitica,,1455309
http://www.aleqt.com/,ECON,Economics,2019-05-02,Netalitica,,1161504
https://www.cnbcarabia.com/,ECON,Economics,2019-05-02,Netalitica,,124724
https://www.al-iqtisad.net/,ECON,Economics,2019-05-02,Netalitica,,17822723
https://hawamer.com/,ECON,Economics,2019-05-02,Netalitica,,5494328
https://menafn.com/,ECON,Economics,2019-05-02,Netalitica,,11354
https://zid.sa/,ECON,Economics,2019-05-02,Netalitica,,4056567
https://mtgryonline.com/,ECON,Economics,2019-05-02,Netalitica,,33723849
https://www.shopgo.me/ar/,ECON,Economics,2019-05-02,Netalitica,,1415736
https://www.rowadalaamal.com/,ECON,Economics,2019-05-02,Netalitica,,4426161
https://amwal-mag.com/,ECON,Economics,2019-05-02,Netalitica,,4335333
https://rowadbusiness.com/,ECON,Economics,2019-05-02,Netalitica,,15568982
https://www.babsaudi.com/ar/index,ECON,Economics,2019-05-02,Netalitica,,51435715
https://e-tejara.com/,ECON,Economics,2019-05-02,Netalitica,,11096677
https://www.esimsar.com/,ECON,Economics,2019-05-02,Netalitica,,10728647
http://www.aqarsaudi.com/,ECON,Economics,2019-05-02,Netalitica,,123209493
https://olx.sa.com/,ECON,Economics,2019-05-02,Netalitica,,21166061
https://sa.opensooq.com/ar,ECON,Economics,2019-05-02,Netalitica,,6587453
https://aqarati.com/,ECON,Economics,2019-05-02,Netalitica,,35683264
https://haraj.com.sa/,ECON,Economics,2019-05-02,Netalitica,,147037
https://www.essamalzamel.com/,ECON,Economics,2019-05-02,Netalitica,,2114315
https://naturemena.com/,ENV,Environment,2019-05-02,Netalitica,,101988333
http://natural-snc.org/,ENV,Environment,2019-05-02,Netalitica,,-1
http://www.greens-sa.org/,ENV,Environment,2019-05-02,Netalitica,,54571977
http://www.persga.org/,ENV,Environment,2019-05-02,Netalitica,,484934
https://www.iucnredlist.org/,ENV,Environment,2019-05-02,Netalitica,,11201
https://acwua.org/,ENV,Environment,2019-05-02,Netalitica,,1891830
http://www.arabwatercouncil.org/,ENV,Environment,2019-05-02,Netalitica,,2963519
https://www.cepf.net/,ENV,Environment,2019-05-02,Netalitica,,92801
https://beieyksa.com/,ENV,Environment,2019-05-02,Netalitica,,-1
http://www.nfdhr.org/,ENV,Environment,2019-05-02,Netalitica,,28689642
http://www.sens.org.sa/,ENV,Environment,2019-05-02,Netalitica,,655516
http://efs.org.sa/index.php/ar/,ENV,Environment,2019-05-02,Netalitica,,116498854
https://ar4up.com/,FILE,File-sharing,2019-05-02,Netalitica,,43397957
http://www.th3download.com/,FILE,File-sharing,2019-05-02,Netalitica,,50631768
https://www.downloadxdriver.com/,FILE,File-sharing,2019-05-02,Netalitica,,-1
http://www.arabyarea.com/,FILE,File-sharing,2019-05-02,Netalitica,,13376926
https://www.bramjfreee.com/,FILE,File-sharing,2019-05-02,Netalitica,,919847
https://www.arbprograms.com/,FILE,File-sharing,2019-05-02,Netalitica,,-1
http://www.5-yal.com/,FILE,File-sharing,2019-05-02,Netalitica,,11734416
http://multkasoft.com/,FILE,File-sharing,2019-05-02,Netalitica,,37998265
https://www.androidapps-ar.com/,FILE,File-sharing,2019-05-02,Netalitica,,30821822
https://technoarabi.com/,FILE,File-sharing,2019-05-02,Netalitica,,17822780
https://www.alarabydownloads.com/,FILE,File-sharing,2019-05-02,Netalitica,,1186124
https://www.mo7pro.com/,FILE,File-sharing,2019-05-02,Netalitica,,16980918
http://shamela.ws/index.php,FILE,File-sharing,2019-05-02,Netalitica,,143010
https://www.esm3.com/,FILE,File-sharing,2019-05-02,Netalitica,,12466955
https://www.bramjzone.com/,FILE,File-sharing,2019-05-02,Netalitica,,15965147
https://www.downloadprogramsline.com/,FILE,File-sharing,2019-05-02,Netalitica,,6345891
https://www.mohmal.com/,FILE,File-sharing,2019-05-02,Netalitica,,2949458
https://bramjmyegy.co/,FILE,File-sharing,2019-05-02,Netalitica,,78576930
http://www.doniacomputer.com/,FILE,File-sharing,2019-05-02,Netalitica,,73827444
http://www.ar.obfog.com/,GAME,Gaming,2019-05-02,Netalitica,,113181692
http://game-game.ma/,GAME,Gaming,2019-05-02,Netalitica,,40335129
http://www.337.com/ar/minigame,GAME,Gaming,2019-05-02,Netalitica,,9596961
https://www.alsindibad.com/,FILE,File-sharing,2019-05-02,Netalitica,,941676
https://viptarneeb.com/,GAME,Gaming,2019-05-02,Netalitica,,43583426
https://www.jawaker.com/,GAME,Gaming,2019-05-02,Netalitica,,6407282
https://www.gamku.com/,GAME,Gaming,2019-05-02,Netalitica,,5799389
https://chessduo.com/ar,GAME,Gaming,2019-05-02,Netalitica,,1331831
https://www.gamessakhr.com/,GAME,Gaming,2019-05-02,Netalitica,,52373786
https://www.gmajid.com/,GAME,Gaming,2019-05-02,Netalitica,,10883439
https://www.casinoelarab.com/,GMB,Gambling,2019-05-02,Netalitica,,7428196
https://casinoarabian.com/,GMB,Gambling,2019-05-02,Netalitica,,315341269
https://www.saudicasinos.com/,GMB,Gambling,2019-05-02,Netalitica,,7604940
https://www.toparabcasinos.com/,GMB,Gambling,2019-05-02,Netalitica,,18375557
https://www.elarabcasino.com/,GMB,Gambling,2019-05-02,Netalitica,,9784615
https://www.finalarab.com/,GMB,Gambling,2019-05-02,Netalitica,,316303084
https://arabcasino.co/,GMB,Gambling,2019-05-02,Netalitica,,99638476
https://www.arabiccasinochoice.com/,GMB,Gambling,2019-05-02,Netalitica,,29081183
https://www.topkuwaitcasinos.com/,GMB,Gambling,2019-05-02,Netalitica,,6779693
https://www.casinoarbi.com/,GMB,Gambling,2019-05-02,Netalitica,,7914852
https://sports.betway.com/en/sports,GMB,Gambling,2019-05-02,Netalitica,,3084369
https://arab-casino.org/,GMB,Gambling,2019-05-02,Netalitica,,6833313
https://www.casinoaraby.com/,GMB,Gambling,2019-05-02,Netalitica,,15946174
https://www.a7lacasino.com/,GMB,Gambling,2019-05-02,Netalitica,,22397909
