url,category_code,category_description,date_added,source,notes,rank
http://actualidaddelperu.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,28075268
http://alvaropampa.blogspot.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,82044704
http://apuntesperuanos.com/,NEWS,News Media,2014-04-15,citizenlab,,9374252
http://blog.descargasgay.com/,PORN,Pornography,2014-04-15,citizenlab,,60088362
http://blog.pucp.edu.pe/,GOVT,Government,2014-04-15,citizenlab,,163663
http://blog.pucp.edu.pe/item/17090,GOVT,Government,2014-04-15,citizenlab,,163663
http://bloggeras.wordpress.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,70846700
http://caballeroredverde.blogspot.com/,ENV,Environment,2014-04-15,citizenlab,,11514178
http://cristianamente.blogspot.com/,REL,Religion,2014-04-15,citizenlab,,158748447
http://democraciamulticultural.blogspot.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,4957969
http://econopolitica.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,-1
http://es.catholic.net/,REL,Religion,2014-04-15,citizenlab,,74611
http://goldmine.wordpress.com/,ENV,Environment,2014-04-15,citizenlab,,23639852
http://huancavelica.zoomblog.com/,NEWS,News Media,2014-04-15,citizenlab,,-1
http://ingenuopais.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,14342209
http://marconaprotesta.wordpress.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,24934254
http://mlajo.blogspot.com/,GOVT,Government,2014-04-15,citizenlab,,-1
http://peru.indymedia.org/,NEWS,News Media,2014-04-15,citizenlab,,2026946
http://peruenrumba.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,,76393019
http://quechuanetwork.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,3233341
http://syscgtp.cgtp.org.pe/,POLR,Political Criticism,2014-04-15,citizenlab,,77069449
http://tlc-no.blogspot.com/,GOVT,Government,2014-04-15,citizenlab,,12625763
http://tlc.ticoblogger.com/,GOVT,Government,2014-04-15,citizenlab,,44798646
http://www.accionpopular.org.pe/,POLR,Political Criticism,2014-04-15,citizenlab,,10727921
http://www.achuarperu.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,11969289
http://www.aeperu.blogspot.com/,ECON,Economics,2014-04-15,citizenlab,,10549905
http://www.aidesep.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,195884
http://www.airesaludable.org/,ENV,Environment,2014-04-15,citizenlab,,-1
http://www.aja.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,18383673
http://www.allpa.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,117071386
http://www.amnistia.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,1819317
http://www.andina.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,89114
http://www.anp.org.pe/,NEWS,News Media,2014-04-15,citizenlab,,5857083
http://www.apra.org.pe/,POLR,Political Criticism,2014-04-15,citizenlab,,3586219
http://www.aprodeh.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,402835
http://www.bandera-roja.com/,POLR,Political Criticism,2014-04-15,citizenlab,,13843098
http://www.bandera-roja.com/peru.htm,POLR,Political Criticism,2014-04-15,citizenlab,,13843098
http://www.bilaterals.org/,GOVT,Government,2014-04-15,citizenlab,,86032
http://www.biodiversidadla.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,143113
http://www.blogsperu.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,4109023
http://www.caaap.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,1525778
http://www.cajpe.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,2186664
http://www.caretas.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,270963
http://www.ceas.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,9553336
http://www.cedal.org.pe/,ECON,Economics,2014-04-15,citizenlab,,18283353
http://www.cedema.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,290668
http://www.cedema.org/index.php?ver=mostrar&pais=1&nombrepais=Venezuela,MILX,Terrorism and Militants,2014-04-15,citizenlab,,290668
http://www.cepes.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,1574865
http://www.chirapaq.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,1470587
http://www.comexperu.org.pe/,ECON,Economics,2014-04-15,citizenlab,,2372198
http://www.conocereisdeverdad.org/,REL,Religion,2014-04-15,citizenlab,,4309460
http://www.cpnradio.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,3704960
http://www.criptored.upm.es/,HACK,Hacking Tools,2014-04-15,citizenlab,,3236707
http://www.cronicaviva.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,347091
http://www.cverdad.org.pe/,NEWS,News Media,2014-04-15,citizenlab,,116727
http://www.deambiente.com/,LGBT,LGBT,2014-04-15,citizenlab,,4007470
http://www.defensoria.gob.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,164851
http://www.defiendetufe.org/,REL,Religion,2014-04-15,citizenlab,,4664111
http://www.delpais.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,6398549
http://www.demus.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,1747099
http://www.derechos.org/nizkor/peru/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,68852
http://www.dhperu.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,4476959
http://www.diariochaski.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,34592818
http://www.diariodechimbote.com/,NEWS,News Media,2014-04-15,citizenlab,,3222655
http://www.diarioelsoldecusco.com/,NEWS,News Media,2014-04-15,citizenlab,,5636231
http://www.diariolaregion.com/,NEWS,News Media,2014-04-15,citizenlab,,396947
http://www.diariovoces.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,3002676
http://www.ecoportal.net/,ENV,Environment,2014-04-15,citizenlab,,878888
http://www.ecoshuacho.com/,NEWS,News Media,2014-04-15,citizenlab,,76770510
http://www.elbocon.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,4559836
http://www.elchino.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,19604497
http://www.elcomercio.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,243356
http://www.elperuano.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,1470710
http://www.elpueblo.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,2900372
http://www.eltiempo.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,19404377
http://www.embarazada.com/,XED,Sex Education,2014-04-15,citizenlab,,5286086
http://www.embarazada.com/default.asp?EmbCountry=Venezuela,XED,Sex Education,2014-04-15,citizenlab,,5286086
http://www.expreso.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,151772
http://www.flora.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,1960625
http://www.fondoindigena.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,1993439
http://www.freelori.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,192517
http://www.gestion.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,10053740
http://www.hackemate.com.ar/,HACK,Hacking Tools,2014-04-15,citizenlab,,12007257
http://www.hispabyte.net/,HACK,Hacking Tools,2014-04-15,citizenlab,,6334351
http://www.hrw.org/spanish/peru.html,HUMR,Human Rights Issues,2014-04-15,citizenlab,,2304
http://www.ibcperu.org/,ENV,Environment,2014-04-15,citizenlab,,343120
http://www.ideas.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,3226904
http://www.idl.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,1653424
http://www.iglesia.net/,REL,Religion,2014-04-15,citizenlab,,1423173
http://www.iglesiajesucristosud.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,5908427
http://www.iglesiametodista.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,4875763
http://www.ileperu.org/,ECON,Economics,2014-04-15,citizenlab,,8548869
http://www.impactaperu.org/,PUBH,Public Health,2014-04-15,citizenlab,,7735985
http://www.indigenacampesino.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,36132217
http://www.ipedehp.org.pe/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,14093084
http://www.isis.cl/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,4177707
http://www.islamhoy.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,7106776
http://www.islamhoy.org/principal/Latinoamerica/peru.htm,HUMR,Human Rights Issues,2014-04-15,citizenlab,,7106776
http://www.jesuitasperu.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,17039586
http://www.juicioysancionafujimori.org/,NEWS,News Media,2014-04-15,citizenlab,,523490
http://www.justiciaviva.org.pe/,NEWS,News Media,2014-04-15,citizenlab,,1941900
http://www.la-tribuna.org/,NEWS,News Media,2014-04-15,citizenlab,,4546089
http://www.labor.org.pe/,ENV,Environment,2014-04-15,citizenlab,,8143494
http://www.lacalle.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,7843308
http://www.laindustria.com/,NEWS,News Media,2014-04-15,citizenlab,,4077026
http://www.larazon.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,2119087
http://www.latinascontracancer.org/,PUBH,Public Health,2014-04-15,citizenlab,,2291727
http://www.losandes.com.pe/,NEWS,News Media,2014-04-15,citizenlab,,385551
