url,category_code,category_description,date_added,source,notes,rank
http://abclider.com/,PORN,Pornography,2014-04-15,citizenlab,,80242926
http://betway.com/,GMB,Gambling,2014-04-15,citizenlab,,91872
http://diplomaticsecondpassport.com/,COMM,E-commerce,2014-04-15,citizenlab,,25522465
http://fei.ru/,PORN,Pornography,2014-04-15,citizenlab,,47138508
http://go-krit.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,17094693
http://ipvnews.org/,NEWS,News Media,2014-04-15,citizenlab,"blocked, critical of Putin",8299250
https://jahforum.org/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,canabis focus,52696393
http://looo.ch/,CULTR,Culture,2014-04-15,citizenlab,,6117937
http://newsland.com/,NEWS,News Media,2014-04-15,citizenlab,,277353
http://redenginejeans.com/,COMM,E-commerce,2014-04-15,citizenlab,,10085901
https://rutor.org/,FILE,File-sharing,2014-04-15,citizenlab,,3670828
http://www.casinoking.com/,GMB,Gambling,2014-04-15,citizenlab,,27760580
http://www.dishisvobodno.ru/,ENV,Environment,2014-04-15,citizenlab,,2688481
http://www.hateit.ru/,HATE,Hate Speech,2014-04-15,citizenlab,,32689874
http://www.islamdin.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,blocked,6633728
http://www.kasparov.ru/,NEWS,News Media,2014-04-15,citizenlab,site of Kremlin's political opponent,105231
http://www.ng.ru/,NEWS,News Media,2014-04-15,citizenlab,,21520
http://www.weedy.be/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,11874581
http://www.daymohk.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,"blocked, no NILX anylonger - now hosting platform, monitor",19079928
http://haamash.wordpress.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,"outdated but blocked, monitor",27278620
http://humanrights-ru.livejournal.com/,POLR,Political Criticism,2014-04-15,citizenlab,,8791279
http://limonka.nbp-info.com/,POLR,Political Criticism,2014-04-15,citizenlab,"blocked, redirects to dead site, monitor",2732029
http://milli-mejlis.blogspot.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,19370404
http://slon.ru/,NEWS,News Media,2014-04-15,citizenlab,"domain nredirects to another respurce, not blocked keep monitoring",96353
http://vk.com/minitrue/,NEWS,News Media,2014-04-15,citizenlab,"critical blog, outdated",39
http://www.chechentimes.net/,COMM,E-commerce,2014-04-15,citizenlab,,23388653
http://www.islamdin.biz/,HATE,Hate Speech,2014-04-15,citizenlab,dead website but still blocked,7462649
http://www.mashina.org/,NEWS,News Media,2014-04-15,citizenlab,"projects temporarily stopped, keep monitoring",5119418
http://www.minjust.net/,NEWS,News Media,2014-04-15,citizenlab,dead site but still blocked,39017293
http://www.owl.ru/,HUMR,Human Rights Issues,2014-04-15,citizenlab,"outdated but generates some traffic, monitor",251397
http://www.resistance88.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,"blocked, temporarily closed for maintenance, monitor",7367125
http://www.reuters.com/article/2010/03/21/russia-olympics-protest-iduslde62k02s20100321/,NEWS,News Media,2014-04-15,citizenlab,"2010 Sochi Olympics article, generates traffic, monitor",166
https://www.shamilonline.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,"blocked, outdated, monitor",18279055
http://www.kavkazcenter.com/,MILX,Terrorism and Militants,2014-04-15,citizenlab,"website under maintenance, monitor",413658
