url,category_code,category_description,date_added,source,notes,rank
http://www.drinkshop.ru/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,,59171974
http://www.freeproxy.ru/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,,4945366
http://mamadu.ru/transl.htm/,COMT,Communication Tools,2014-04-15,citizenlab,online dictionaries,9298457
http://www.nextmail.ru/,COMT,Communication Tools,2014-04-15,citizenlab,,11773878
https://perevedem.ru/,COMT,Communication Tools,2014-04-15,citizenlab,online translator,5694923
http://gamsoft.ru/,GMB,Gambling,2014-04-15,citizenlab,,43054542
http://www.annacasino.ru/,GMB,Gambling,2014-04-15,citizenlab,,34421253
https://www.russiancasino.com/,GMB,Gambling,2014-04-15,citizenlab,,16525847
http://beon.ru/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,2165078
http://itblogs.ru/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,temporary suspended project,7327945
http://mamadu.ru/,COMM,E-commerce,2014-04-15,citizenlab,,9298457
http://www.azeronline.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Azerbaijani site,1583298
http://www.blogcu.com/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Turkish platform,4148483
http://www.blogdir.ru/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,,18022076
http://hrights.ru/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,529443
http://publicverdict.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,1483521
http://www.hrpublishers.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,,3625372
http://www.lesbi.ru/,LGBT,LGBT,2014-04-15,citizenlab,,3654781
http://xs.gay.ru/,LGBT,LGBT,2014-04-15,citizenlab,,24173128
http://freeware32.ru/,MMED,Media sharing,2014-04-15,citizenlab,,9659960
http://www.download.ru/,MMED,Media sharing,2014-04-15,citizenlab,,3005110
http://www.softilla.ru/,MMED,Media sharing,2014-04-15,citizenlab,,26351169
http://compromat.ru/,NEWS,News Media,2014-04-15,citizenlab,,66049
http://eurasia.org.ru/,NEWS,News Media,2014-04-15,citizenlab,Regional news agency,2892563
http://gazeta.ru/,NEWS,News Media,2014-04-15,citizenlab,Russian media outlet,15165
http://polithexogen.ru/,NEWS,News Media,2014-04-15,citizenlab,,3673444
http://www.1news.az/,NEWS,News Media,2014-04-15,citizenlab,,124207
http://www.aif.ru/,NEWS,News Media,2014-04-15,citizenlab,,15130
http://www.artsakhtert.com/,NEWS,News Media,2014-04-15,citizenlab,Armenian resources,341969
http://www.ayna.az/,NEWS,News Media,2014-04-15,citizenlab,Azerbaijan site,299860
http://www.azadinform.az/,NEWS,News Media,2014-04-15,citizenlab,Azerbaijan site,7761481
http://www.azadliq.az/,NEWS,News Media,2014-04-15,citizenlab,Azerbaijan site,1295246
http://www.comicsreporter.com/,NEWS,News Media,2014-04-15,citizenlab,,46933
http://www.compromat.ru/,NEWS,News Media,2014-04-15,citizenlab,,66049
http://www.exile.ru/,NEWS,News Media,2014-04-15,citizenlab,paid access,84488
http://www.gdf.ru/,NEWS,News Media,2014-04-15,citizenlab,,249686
http://www.irex.ru/,NEWS,News Media,2014-04-15,citizenlab,,3204251
http://www.russiajournal.com/,NEWS,News Media,2014-04-15,citizenlab,provides access only to archive,132405
https://eurasianet.org/,NEWS,News Media,2014-04-15,citizenlab,,16389
https://www.novayagazeta.ru/,NEWS,News Media,2014-04-15,citizenlab,,13154
https://www.passion.ru/,NEWS,News Media,2014-04-15,citizenlab,light content,396164
https://www.themoscowtimes.com/,NEWS,News Media,2014-04-15,citizenlab,,14145
http://dating.ru/,DATE,Online Dating,2014-04-15,citizenlab,,8433902
http://www.lubovy.ru/,DATE,Online Dating,2014-04-15,citizenlab,,47389564
http://www.prison.org/,POLR,Political Criticism,2014-04-15,citizenlab,,1551819
http://www.sovest.org/,POLR,Political Criticism,2014-04-15,citizenlab,,3755967
http://www.transparentelections.org/,POLR,Political Criticism,2014-04-15,citizenlab,,33466769
http://www.otbm.com/,PORN,Pornography,2014-04-15,citizenlab,,25203088
http://www.pornocd.ru/,PORN,Pornography,2014-04-15,citizenlab,,89783307
http://www.afew.org/,PUBH,Public Health,2014-04-15,citizenlab,,890621
https://ligazn.ru/,PUBH,Public Health,2014-04-15,citizenlab,,1826326
http://buddhism.org.ru/,REL,Religion,2014-04-15,citizenlab,,3762515
http://buddhist.ru/,REL,Religion,2014-04-15,citizenlab,,3584880
http://shaman.aha.ru/,REL,Religion,2014-04-15,citizenlab,,19570582
http://www.azerislam.com/,REL,Religion,2014-04-15,citizenlab,Azerbaijani site,1525937
http://www.buddhism.ru/,REL,Religion,2014-04-15,citizenlab,,165166
http://www.islam.az/,REL,Religion,2014-04-15,citizenlab,,1527687
http://www.islam.ru/,REL,Religion,2014-04-15,citizenlab,,259589
http://www.mahamudra.ru/,REL,Religion,2014-04-15,citizenlab,,3245491
http://www.filesearch.ru/,SRCH,Search Engines,2014-04-15,citizenlab,,3575123
http://wwwoman.ru/,XED,Sex Education,2014-04-15,citizenlab,,21980481
http://talyplar.com/,GRP,Social Networking,2014-04-15,citizenlab,,9195633
http://www.nkr.am/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,147899
http://www.nkrusa.org/,MILX,Terrorism and Militants,2014-04-15,citizenlab,,110330
https://copris.com/,COMM,E-commerce,2014-04-15,citizenlab,train schedules,6416828
https://punkito.com/,CULTR,Culture,2014-04-15,citizenlab,blog ,3074108
http://freepromote.ru/,MMED,Media sharing,2014-04-15,citizenlab,announcements board,25689786
http://elitvip.ru/,PORN,Pornography,2014-04-15,citizenlab,Site on cosmetics,-1
